paper,author,affiliations
The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,K-Ryan Hinds,"Astrophysics Research Institute, Liverpool John Moores University, IC2, Liverpool Science Park, 146 Brownlow Hill, Liverpool L3 5RF, UK"
The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,Chang Liu (刘畅),"Department of Physics and Astronomy, Northwestern University, 2145 Sheridan Road, Evanston, IL 60208, USA; Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA), 1800 Sherman Ave., Evanston, IL 60201, USA"
The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,Steve Schulze,"Center for Interdisciplinary Exploration and Research in Astrophysics (CIERA), 1800 Sherman Ave., Evanston, IL 60201, USA"
The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,Jesper Sollerman,"Department of Astronomy, The Oskar Klein Center, Stockholm University, AlbaNova, SE-10691 Stockholm, Sweden"
The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,Theophile Jegou du Laz,"Division of Physics, Mathematics, and Astronomy, California Institute of Technology, Pasadena, CA 91125, USA"
The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,Tomás Ahumada,"Division of Physics, Mathematics, and Astronomy, California Institute of Technology, Pasadena, CA 91125, USA"
The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,Katie Auchettl,"Department of Astronomy and Astrophysics, University of California, Santa Cruz, CA 95064, USA; OzGrav, School of Physics, The University of Melbourne, VIC 3010, Australia"
The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,S. J. Brennan,"Department of Astronomy, The Oskar Klein Center, Stockholm University, AlbaNova, SE-10691 Stockholm, Sweden"
The BTSbot-nearby discovery of SN 2024jlf: rapid, autonomous follow-up probes interaction in an 18.5 Mpc Type IIP supernova,Michael W. Coughlin,"School of Physics and Astronomy, University of Minnesota, Minneapolis, MN 55455, USA"

Investigating the Redshift Evolution of Lensing Galaxy Density Slopes via Model-Independent Distance Ratios,S. Geng,"National Centre for Nuclear Research, ul. Pasteura 7, 02-093 Warsaw, Poland"
Investigating the Redshift Evolution of Lensing Galaxy Density Slopes via Model-Independent Distance Ratios,M. Grespan,"National Centre for Nuclear Research, ul. Pasteura 7, 02-093 Warsaw, Poland"
Investigating the Redshift Evolution of Lensing Galaxy Density Slopes via Model-Independent Distance Ratios,H. Thuruthipilly,"National Centre for Nuclear Research, ul. Pasteura 7, 02-093 Warsaw, Poland"
Investigating the Redshift Evolution of Lensing Galaxy Density Slopes via Model-Independent Distance Ratios,S. Harikumar,"National Centre for Nuclear Research, ul. Pasteura 7, 02-093 Warsaw, Poland"
Investigating the Redshift Evolution of Lensing Galaxy Density Slopes via Model-Independent Distance Ratios,A. Pollo,"National Centre for Nuclear Research, ul. Pasteura 7, 02-093 Warsaw, Poland; Astronomical Observatory of the Jagiellonian University, Faculty of Physics, Astronomy and Applied Computer Science, ul. Orla 171, 30-244 Kraków, Poland"
Investigating the Redshift Evolution of Lensing Galaxy Density Slopes via Model-Independent Distance Ratios,M. Biesiada,"National Centre for Nuclear Research, ul. Pasteura 7, 02-093 Warsaw, Poland"

Interpretability of deep-learning methods applied to large-scale structure surveys,G. Aymerich,"Université Paris-Saclay, CNRS, Institut d'Astrophysique Spatiale, 91405, Orsay, France; Université Paris-Saclay, Université Paris Cité, CEA, CNRS, AIM, 91191, Gif-sur-Yvette, France"
Interpretability of deep-learning methods applied to large-scale structure surveys,T. Kacprzak,"Institute for Particle Physics and Astrophysics, ETH Zurich, 8093 Zurich, Switzerland; Swiss Data Science Center, Paul Scherrer Institute, 5232 Villigen, Switzerland"
Interpretability of deep-learning methods applied to large-scale structure surveys,A. Refregier,"Institute for Particle Physics and Astrophysics, ETH Zurich, 8093 Zurich, Switzerland"

Quintessential Implications of the presence of AdS in the Dark Energy sector,Purba Mukherjee,"Centre for Theoretical Physics, Jamia Millia Islamia, New Delhi-110025, India"
Quintessential Implications of the presence of AdS in the Dark Energy sector,Dharmendra Kumar,"Malaviya National Institute Of Technology Jaipur-302017, Rajasthan, India"
Quintessential Implications of the presence of AdS in the Dark Energy sector,Anjan A Sen,"Centre for Theoretical Physics, Jamia Millia Islamia, New Delhi-110025, India"

Electrostatic instability of non-spherical dust in sub-stellar clouds,C. R. Stark,"SUPA, School of Physics and Astronomy, Kelvin Building, University of Glasgow, Glasgow, G12 8QQ, Scotland, UK"
Electrostatic instability of non-spherical dust in sub-stellar clouds,D. A. Diver,"SUPA, School of Physics and Astronomy, Kelvin Building, University of Glasgow, Glasgow, G12 8QQ, Scotland, UK"
Electrostatic instability of non-spherical dust in sub-stellar clouds,M. I. Swayne,"SUPA, School of Physics and Astronomy, Kelvin Building, University of Glasgow, Glasgow, G12 8QQ, Scotland, UK"

A closer look at the data: Unveiling the structure of the Galactic disk,J. A. Sellwood,"Steward Observatory, University of Arizona, 933 Cherry Avenue, Tucson, AZ 85722, USA"
A closer look at the data: Unveiling the structure of the Galactic disk,James Binney,"Rudolf Peierls Centre for Theoretical Physics, Clarendon Laboratory, Parks Road, Oxford, OX1 3PU, UK"

A Planet as the Possible Cause of the HD 181327 Debris Disk Asymmetry,Keith T. Smith,"Affiliation 1"
A Planet as the Possible Cause of the HD 181327 Debris Disk Asymmetry,A. N. Other,"Affiliation 2"
A Planet as the Possible Cause of the HD 181327 Debris Disk Asymmetry,Third Author,"Affiliation 2; Affiliation 3"

TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Jian-Hua Fang,"Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Di Li,"Department of Astronomy, Tsinghua University, Beijing 100084, China; National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, China; Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Pei Wang,"National Astronomical Observatories, Chinese Academy of Sciences, Beijing 100101, China; Institute for Frontiers in Astronomy and Astrophysics, Beijing Normal University, Beijing 102206, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Hua-Xi Chen,"Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Han Wang,"Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Deng-Ke Zhou,"Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Qin-Ping Bao,"Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Hai-Yan Li,"Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Jing-Jing Hu,"Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Jin-Tao Xie,"School of Computer Science and Engineering, Sichuan University of Science and Engineering, Yibin 644000, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Xiao-Dong Ge,"Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Yi Feng,"Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China; Institute for Astronomy, School of Physics, Zhejiang University, Hangzhou 310027, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Dong-Hui Quan,"Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China; Institute for Astronomy, School of Physics, Zhejiang University, Hangzhou 310027, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Zhi-Xuan Kang,"Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Xue-Rong Guo,"Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China"
TransientVerse: A Comprehensive Real-Time Alert and Multi-Wavelength Analysis System for Transient Astronomical Events,Chen-Wu Jin,"Research Center for Astronomical Computing, Zhejiang Laboratory, Hangzhou 311121, China"

Distribution of the H\"ogbom CLEAN Algorithm Using Tiled Images with Feedback,Daniel Wright,"Oxford e-Research Centre, Department of Engineering Sciences, University of Oxford, 7 Keble road, OX1 3QG, Oxford, United Kingdom"
Distribution of the H\"ogbom CLEAN Algorithm Using Tiled Images with Feedback,Karel Adámek,"Oxford e-Research Centre, Department of Engineering Sciences, University of Oxford, 7 Keble road, OX1 3QG, Oxford, United Kingdom"
Distribution of the H\"ogbom CLEAN Algorithm Using Tiled Images with Feedback,Wesley Armour,"Oxford e-Research Centre, Department of Engineering Sciences, University of Oxford, 7 Keble road, OX1 3QG, Oxford, United Kingdom"

CIBER 4th flight fluctuation analysis: Measurements of near-IR auto- and cross-power spectra on arcminute to sub-degree scales,Richard M. Feder,"California Institute of Technology, 1200 E California Blvd, 91125, USA; Berkeley Center for Cosmological Physics, University of California, Berkeley, CA 94720, USA; Lawrence Berkeley National Laboratory, Berkeley, California 94720, USA"
CIBER 4th flight fluctuation analysis: Measurements of near-IR auto- and cross-power spectra on arcminute to sub-degree scales,James J. Bock,"California Institute of Technology, 1200 E California Blvd, 91125, USA"
CIBER 4th flight fluctuation analysis: Measurements of near-IR auto- and cross-power spectra on arcminute to sub-degree scales,Yun-Ting Cheng,"California Institute of Technology, 1200 E California Blvd, 91125, USA"
CIBER 4th flight fluctuation analysis: Measurements of near-IR auto- and cross-power spectra on arcminute to sub-degree scales,Asantha Cooray,"Department of Physics \& Astronomy, University of California Irvine, Irvine CA 92697, USA"
CIBER 4th flight fluctuation analysis: Measurements of near-IR auto- and cross-power spectra on arcminute to sub-degree scales,Phillip M. Korngut,"California Institute of Technology, 1200 E California Blvd, 91125, USA"
CIBER 4th flight fluctuation analysis: Measurements of near-IR auto- and cross-power spectra on arcminute to sub-degree scales,Shuji Matsuura,"School of Science and Technology, Kwansei Gakuin University, Sanda, Hyogo 669-1337, Japan"
CIBER 4th flight fluctuation analysis: Measurements of near-IR auto- and cross-power spectra on arcminute to sub-degree scales,Jordan Mirocha,"Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA; California Institute of Technology, 1200 E California Blvd, 91125, USA"
CIBER 4th flight fluctuation analysis: Measurements of near-IR auto- and cross-power spectra on arcminute to sub-degree scales,Chi H. Nguyen,"California Institute of Technology, 1200 E California Blvd, 91125, USA"
CIBER 4th flight fluctuation analysis: Measurements of near-IR auto- and cross-power spectra on arcminute to sub-degree scales,Kohji Takimoto,"Department of Solar System Sciences, Institute of Space and Astronautical Science, Japan Aerospace Exploration Agency, 3-1-1 Yoshinodai, Chuo-ku, Sagamihara, Kanagawa 252-5210, Japan"
CIBER 4th flight fluctuation analysis: Measurements of near-IR auto- and cross-power spectra on arcminute to sub-degree scales,Kohji Tsumura,"Department of Natural Sciences, Faculty of Science and Engineering, Tokyo City University, 158-8557 Tokyo, Japan"
CIBER 4th flight fluctuation analysis: Measurements of near-IR auto- and cross-power spectra on arcminute to sub-degree scales,Ryan Wills,"Center for Detectors, School of Physics and Astronomy, Rochester Institute of Technology, 1 Lomb Memorial Drive, Rochester, New York 14623, USA"
CIBER 4th flight fluctuation analysis: Measurements of near-IR auto- and cross-power spectra on arcminute to sub-degree scales,Michael Zemcov,"Center for Detectors, School of Physics and Astronomy, Rochester Institute of Technology, 1 Lomb Memorial Drive, Rochester, New York 14623, USA; Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Drive, Pasadena, CA 91109, USA"

Systematic Search for Long-Term Trends in Fermi-LAT Jetted Active Galactic Nuclei,P. Peñil,"Department of Physics and Astronomy, Clemson University, Kinard Lab of Physics, Clemson, SC 29634-0978, USA"
Systematic Search for Long-Term Trends in Fermi-LAT Jetted Active Galactic Nuclei,A. Domínguez,"IPARCOS and Department of EMFTEL, Universidad Complutense de Madrid, E-28040 Madrid, Spain"
Systematic Search for Long-Term Trends in Fermi-LAT Jetted Active Galactic Nuclei,S. Buson,"Julius-Maximilians-Universität, 97070, Würzburg, Germany"
Systematic Search for Long-Term Trends in Fermi-LAT Jetted Active Galactic Nuclei,M. Ajello,"Department of Physics and Astronomy, Clemson University, Kinard Lab of Physics, Clemson, SC 29634-0978, USA"
Systematic Search for Long-Term Trends in Fermi-LAT Jetted Active Galactic Nuclei,S. Adhikari,"Department of Physics and Astronomy, Clemson University, Kinard Lab of Physics, Clemson, SC 29634-0978, USA"
Systematic Search for Long-Term Trends in Fermi-LAT Jetted Active Galactic Nuclei,A. Rico,"Department of Physics and Astronomy, Clemson University, Kinard Lab of Physics, Clemson, SC 29634-0978, USA"

Ultraviolet spectroscopy of the black hole X-ray binary MAXI J1820+070 across a state transition,M. Georganti,"School of Physics and Astronomy, University of Southampton, Southampton, Hampshire, SO17 1BJ, UK"
